filename,title,identifier,source,status,transcription,Omeka file order
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2101/filename/2269.jpg,Front,kinnick_2234_2101,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2101,Not Started,,1
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2102/filename/2270.jpg,Back,kinnick_2234_2102,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2102,Not Started,,2
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2103/filename/2271.jpg,Front,kinnick_2234_2103,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2103,Not Started,,3
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2104/filename/2272.jpg,Back,kinnick_2234_2104,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2104,Not Started,,4
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2105/filename/2273.jpg,Front,kinnick_2234_2105,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2105,Not Started,,5
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2106/filename/2274.jpg,Back,kinnick_2234_2106,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2106,Not Started,,6
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2107/filename/2275.jpg,Front,kinnick_2234_2107,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2107,Not Started,,7
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2108/filename/2276.jpg,Back,kinnick_2234_2108,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2108,Not Started,,8
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2109/filename/2277.jpg,Front,kinnick_2234_2109,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2109,Not Started,,9
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2110/filename/2278.jpg,Back,kinnick_2234_2110,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2110,Not Started,,10
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2111/filename/2279.jpg,Page 01,kinnick_2234_2111,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2111,Not Started,,11
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2112/filename/2280.jpg,Page 02,kinnick_2234_2112,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2112,Not Started,,12
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2113/filename/2281.jpg,Page 03,kinnick_2234_2113,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2113,Not Started,,13
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2114/filename/2282.jpg,Page 04,kinnick_2234_2114,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2114,Not Started,,14
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2115/filename/2283.jpg,Page 01,kinnick_2234_2115,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2115,Not Started,,15
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2116/filename/2284.jpg,Page 02,kinnick_2234_2116,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2116,Not Started,,16
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2117/filename/2285.jpg,Page 03,kinnick_2234_2117,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2117,Not Started,,17
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2118/filename/2286.jpg,Page 04,kinnick_2234_2118,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2118,Not Started,,18
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2119/filename/2287.jpg,Page 01,kinnick_2234_2119,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2119,Not Started,,19
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2120/filename/2288.jpg,Page 02,kinnick_2234_2120,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2120,Not Started,,20
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2121/filename/2289.jpg,Page 03,kinnick_2234_2121,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2121,Not Started,,21
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2122/filename/2290.jpg,Page 04,kinnick_2234_2122,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2122,Not Started,,22
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2123/filename/2291.jpg,Page 01,kinnick_2234_2123,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2123,Not Started,"Omaha, Nebraska
March 16,   1943
Dear Nile:
Truely it lias been too long since I last wrote you. How time gets away when you
fail to seize it firmly for those things that ought to ""be done. This letter will
""bring us up to ate on quite a number of items.
Under separate cover I have moiled you several clippings, mostly about the recent
basketball games. A  careful perusal, if you have the time', will give you the
picture better than 1 can describe it. George performed very well, I believe, and
carried his end of the load with credit. How, I hope that he will gather up the
somewhat frayed ends of his scholastic strings and whip them into a sort cf lifeline that will afford him an anchor more durable than the ephemeral plaudits of
the bleachers. Also enclosed are some other items that X  thought might be of
interest to you. The cartoon fro^ the Tribune seemed pat, and I gathered it on
my jaunt into Iowa.  In no other manner do I represent that the Tribune reflects
jiy views. By and large, it is one of the sinister influences in thX^landj(dLl^o-M\
V.'e have discussed means by which you might indicate to us your ports of call,
without giving information to those who should not have it. You may pass judgment
on the suggestion that I enclose - which is a list of 31 places over the globe
where you might be, sonner or later,  I have kept an identical list, and if you
use a number in any manner either in the first paragraph or tho last paragraph
of your letter, we will understand that you will be, are or shall be, at the point
corresponding to that name, or reasonably near to it. A comment like, ""I wrote
you on the 11th"", would mean that you have been at Cuba, possibly the &avy baBe
there. Past tense could mean that you have been there; present tense that you
are there now, and futta tense th^t you are headed in that direction.  If you
think the plan has merit, and is permissable at all under censorship rulfcs, I
know that we would appreciate such information as you can give us.
Your last money orders were deposited and I at the same time withdrew .;>86.73
for the following purposes:
Income tax   $?5.PF     books: Glimpses of L'orld History  $4,00
uniforms     22.OQ lestiny of '.Vest. World     3.00
bond 18.75 Stry of Confederacy       1.39
Story of Heconstruction    1.39
L.'e shall follow your instructions about depositing your remittances coming
direct from the pay-roll allotment, for bonds, church, etc. There are three
iTore payments due on your uniforms, two for $2? and one for a smaller amount.
I have been in touch with Lfottdhewe Book Store in ""egard to the volumes that you
want. Enclosed is a list of the Churchill books prepared by I.Iiss 0*Leary with
whom I have been dealing there, and the ones that I find on our shelves have
een checked with pencil. We also have ""Roving Commission"" but it is marked
for George,  If you want me to order each of the others, please indicate, The
Vvorld Crisis volumes cover three periods and cone In four volumes, or may be
had in one volume, a. letter from the publisher, Scrihner's, states that the
one volume edition ""does not contain all the material in the four volume set,
but it does contain all of the essential fects."" Perhaps you should say which
you prefer. How about the ""Marlborough-6 vols.""?
You have two volumes of Lincoln's biography, ""The Prairie Years"",  I understand
that you want me to buy the other Sandburg volumes of that biography. Also I
eelieve there Is a single volume containing all of the kno'-vn writings by Lincoln,
but I do not have the author's name at hand. We will keep working on this
delegation and will execute it to the best of our ability.
I bought and presented a couple of books this past week. A current edition of
Webster's Collegiate Dictionory to the flovarik hoys, Joe and Jack, v/ith an",23
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2124/filename/2292.jpg,Page 02,kinnick_2234_2124,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2124,Not Started,,24
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2125/filename/2293.jpg,Page 03,kinnick_2234_2125,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2125,Not Started,"appropriate message on the fly-leaf. They are fine boys and seem to be doing aO
very well in their school work and in other school activities it is a pleasure
to add some encouragement to their ambitions. Then, I presented my friend Hastain
with a copy of I3artlett's compendium. He had told me some time ago that his wife
gave ills old copy to the Salvation Army some yeers ago, and he loves to quote.
George spent the e-ening down at the ""Y"" refereeing some basketball games in a
tournament. A  moment ago I measured him and he is just under 5* 11"", and he said
Stat he weighed 160 lbs down at the ""Y"".  I wish that I could say with confidence
that his mental stature is keeping pace. With basketball over ami track activities
a little way off, we hope to encourage some concentration on the books, which
will not be misplaced I am sure. He is expecting to go to sunsuer school to
qualify for graduation this summer, as perhaps mother has mentioned, Jin Illtchell
has written George that he is finishing high school early and is leaving this
week for Alaska with the Kaiters on their f-rawelling job. They have a contract
for 200 miles of surfacing on the Alcan Highway, which will take about nine
months. Jim end a Ksimvater boy will be cook's helpers.
It looks to me like investment in farm land is hardly the deal for your funds now.
Land is looking up, rather rapid y in some spots, end it is definitely a sellers
market. Your funds are hardly sufficient to b\jy anything decent except on a
shoestring, and this is Irrdly the tij&e for that. There will come another time
to a few years when conditions will favor the buyer, and without doubt you will
then be in a better position to deol for a farm. As you suggest, I would favor
some good stock like Penn B3U  If Frank Williams has a suggestion that you want
to follow, we will work with him, or if he doesn't want to make a suggestion, I
know a good man here in Cmaha whom I would trust.  I believe that your money
ought to be at better interest than in the savings account, and with watchful
management it ought to yield some $re$et! margin of profit if the inflationary
trend continues, and most seem to concede that it will. There is a possibility
of ceilings or st'->p-trading orders, if the market shows signs of getting out of
hand.  Indications a-e that workers with money are in the stock markets now.
I shall write to the man who owns the eighty just south of grandma's place, and
ask tfent.h* get in touch with us at r.ny future time when he contemplates selling.
That eighty would go well with the farm, if it stays in the family, and it might.
Yesterday I received notice that the subscription to FORTIHE had been received,
and to-day the first copy came, the February issue.  I shall enjoy all of them
and will be grateful to Jou. Ey the way, I placed the sub thru one of the girls
in the office and had the benefit of the agency rate, $7.00. Therefore, I send
you the three frogskins as rebate.
Uncle Chas had a article in lest week's News which was a copy of a paper he
read to the Bt*ry Cluh lately. It is a good one, and I shall see that you have
it to read.
I have saved the SEP article that you nentioned some time ago, and also all of the
Rockwell pictures with accompanying texts. They are fine, but I still think iiie
first one on Freedom of Speech Is the best.  The lrsst one ooraes nest. The one
on Religion or Worship, appealed to me least.
You asked about the FCA set-up for emergency loans thru the RACC. The Post
Bsummary is about right, according to rry judgment.  I can't see the necessity
under present conditions, but they are tearing their hair to get that money
out. .Banks and other sourcos of credit are perfectly able to handle all of the
short term requirements. There must be several cracks in the planning board,
and one of them is this revival of KACC.",25
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2126/filename/2294.jpg,Page 04,kinnick_2234_2126,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2126,Not Started,,26
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2127/filename/2295.jpg,Page 05,kinnick_2234_2127,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2127,Not Started,"We certainly have had some rapid weather changes lately. One time it will seem
that spring is only around the cornerj then the mercury will plummet and, like
the last couple of days will be accompanied by a sash rattling wind. That is
often the schedule here in March, as you may recall.  Day before yesterday we
had robins in the back yard, and I heard one as long as three weeks ago. The
signs indicate that Nature will again soon stir herself and thrust up those
evidences of the ever recurring cycle of life and abundance. I find $y head
full of plans relating to rotations, planting schedules and production goals -
just as if I were operating several hundred acres.  That would be my choice
if it had to be one thing.
The Hobbs called last Sunday aft. No more word from Bob. All of us were wondering
about his cryptic remark, ""I may be back about the time that Kile leaves."" But
we find no logical answer. Elsie is awaiting her orders for officers training at
Northampt&n (Smith College)as she has been accepted by the Waves. Mrs. Hobbs said
that the second Bloon girl, the scientist who has been working in the brewery in
Louisville, also expects to be at Smith for the same training.
I am. somewhat at loss in understanding why your gunnery gives su much trouble.
As I understand the problem it is one of proper ""lead"", and you know the general
principles there from all the passes that you have tossed. Maybe it is much more
complicated, but I have every confidence that your usual manner of attacking the
puzzle will get the necessary result. Coordination of mind and muscle has been
your stock in trade for quite awhile.  So, keep working on it, and, like you, I
know that the word will appear.
We are planning on having the Whites over for dinner soon, maybe Friday of this
week. That will give us first hand news of both Ellie and You.
Mother has written you I think about one of us coming back to see you before you
go to sea. Do you believe it is practical? Mother would be the one to come but
she has lately expressed herself to the effect that I am the more logical choice
because of perhaps fitting into the male routine better. You can pass judgment
on that better than we can. We shall adjust ourselves to your wishes.
Love  Pop",27
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2128/filename/2296.jpg,Page 06,kinnick_2234_2128,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2128,Not Started,,28
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2129/filename/2297.jpg,Page 01,kinnick_2234_2129,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2129,Not Started,,29
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2130/filename/2298.jpg,Page 02,kinnick_2234_2130,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2130,Not Started,,30
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2131/filename/2299.jpg,Page 03,kinnick_2234_2131,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2131,Not Started,,31
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2132/filename/2300.jpg,Page 04,kinnick_2234_2132,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2132,Not Started,,32
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2133/filename/2301.jpg,Page 05,kinnick_2234_2133,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2133,Not Started,,33
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2134/filename/2302.jpg,Page 06,kinnick_2234_2134,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2134,Not Started,,34
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2135/filename/2303.jpg,Front,kinnick_2234_2135,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2135,Not Started,,35
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2136/filename/2304.jpg,Back,kinnick_2234_2136,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2136,Not Started,,36
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2137/filename/2305.jpg,Front,kinnick_2234_2137,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2137,Not Started,,37
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2138/filename/2306.jpg,Back,kinnick_2234_2138,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2138,Not Started,,38
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2139/filename/2307.jpg,Page 01,kinnick_2234_2139,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2139,Not Started,,39
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2140/filename/2308.jpg,Page 02,kinnick_2234_2140,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2140,Not Started,,40
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2141/filename/2309.jpg,Page 03,kinnick_2234_2141,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2141,Not Started,,41
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2142/filename/2310.jpg,Page 04,kinnick_2234_2142,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2142,Not Started,,42
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2143/filename/2311.jpg,Front,kinnick_2234_2143,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2143,Not Started,,43
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2144/filename/2312.jpg,Back,kinnick_2234_2144,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2144,Not Started,,44
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2145/filename/2313.jpg,Front,kinnick_2234_2145,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2145,Not Started,,45
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2146/filename/2314.jpg,Back,kinnick_2234_2146,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2146,Not Started,,46
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2147/filename/2315.jpg,Page 01,kinnick_2234_2147,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2147,Not Started,,47
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2148/filename/2316.jpg,Page 02,kinnick_2234_2148,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2148,Not Started,,48
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2149/filename/2317.jpg,Page 03,kinnick_2234_2149,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2149,Not Started,,49
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2150/filename/2318.jpg,Page 04,kinnick_2234_2150,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2150,Not Started,,50
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2151/filename/2319.jpg,Page 05,kinnick_2234_2151,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2151,Not Started,,51
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2152/filename/2320.jpg,Page 06,kinnick_2234_2152,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2152,Not Started,"A^miKj/A^aAu^^ ArVA Mttr^rt/LJe. -Mr j^aAXA^
Y^^ ^XkxjAAXJ Ayi  ATIAma a^lsu-   ^^^^7-%jl/
(lavJ. A3 a^^XAXAa*^ <X^aA Aa^aXA Wi ^UaJA ^a/uxX~
Ak aAXX}L /A.  '
. i AH A^JAAx^^7b/ JjLjCaXiAx X AaezAclAawA
YW^A f aA^IA Isx*aA~ tAxXAZ^    Aft   ^A-t(
PXljU;
MA
^itAh^A&^JtprA^
l\ JbA^aTtyXAJ vAa^AA^ cUJafcttd o<A^AeAkj
tAafa t{( X^f TM^^axXM aaaJ A^aach^
AtAUAJs 7771 ATAAaTJ Ao a! Ai^ kg;
^AAAj if ^ a^Aa$ * (JKtAA^i^
/xAyvAjy,",52
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2153/filename/2321.jpg,Page 01,kinnick_2234_2153,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2153,Not Started,,53
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2154/filename/2322.jpg,Page 02,kinnick_2234_2154,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2154,Not Started,,54
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2155/filename/2323.jpg,Page 03,kinnick_2234_2155,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2155,Not Started,,55
http://digital.lib.uiowa.edu/utils/getfile/collection/kinnick/id/2156/filename/2324.jpg,Page 04,kinnick_2234_2156,http://digital.lib.uiowa.edu/cdm/ref/collection/kinnick/id/2156,Not Started,,56
